1.1 א  שִׁיר הַשִּׁירִים, אֲשֶׁר לִשְׁלֹמֹה.	1 The song of songs, which is Solomon's.
7.4 ד  שְׁנֵי שָׁדַיִךְ כִּשְׁנֵי עֳפָרִים, תָּאֳמֵי צְבִיָּה.	4 Thy two breasts are like two fawns that are twins of a gazelle.
7.5 ה  צַוָּארֵךְ, כְּמִגְדַּל הַשֵּׁן; עֵינַיִךְ בְּרֵכוֹת בְּחֶשְׁבּוֹן, עַל-שַׁעַר בַּת-רַבִּים--אַפֵּךְ כְּמִגְדַּל הַלְּבָנוֹן, צוֹפֶה פְּנֵי דַמָּשֶׂק.	5 Thy neck is as a tower of ivory; thine eyes as the pools in Heshbon, by the gate of Bath-rabbim; thy nose is like the tower of Lebanon which looketh toward Damascus.
7.6 ו  רֹאשֵׁךְ עָלַיִךְ כַּכַּרְמֶל, וְדַלַּת רֹאשֵׁךְ כָּאַרְגָּמָן:  מֶלֶךְ, אָסוּר בָּרְהָטִים.	6 Thy head upon thee is like Carmel, and the hair of thy head like purple; the king is held captive in the tresses thereof.
7.7 ז  מַה-יָּפִית, וּמַה-נָּעַמְתְּ--אַהֲבָה, בַּתַּעֲנוּגִים.	7 How fair and how pleasant art thou, O love, for delights!
7.8 ח  זֹאת קוֹמָתֵךְ דָּמְתָה לְתָמָר, וְשָׁדַיִךְ לְאַשְׁכֹּלוֹת.	8 This thy stature is like to a palm-tree, and thy breasts to clusters of grapes.
7.9 ט  אָמַרְתִּי אֶעֱלֶה בְתָמָר, אֹחֲזָה בְּסַנְסִנָּיו; וְיִהְיוּ-נָא שָׁדַיִךְ כְּאֶשְׁכְּלוֹת הַגֶּפֶן, וְרֵיחַ אַפֵּךְ כַּתַּפּוּחִים.	9 I said: 'I will climb up into the palm-tree, I will take hold of the branches thereof; and let thy breasts be as clusters of the vine, and the smell of thy countenance like apples;
7.10 י  וְחִכֵּךְ, כְּיֵין הַטּוֹב הוֹלֵךְ לְדוֹדִי לְמֵישָׁרִים; דּוֹבֵב, שִׂפְתֵי יְשֵׁנִים.	10 And the roof of thy mouth like the best wine, that glideth down smoothly for my beloved, moving gently the lips of those that are asleep.'
7.11 יא  אֲנִי לְדוֹדִי, וְעָלַי תְּשׁוּקָתוֹ.  {ס}	11 I am my beloved's, and his desire is toward me. {S}
7.12 יב  לְכָה דוֹדִי נֵצֵא הַשָּׂדֶה, נָלִינָה בַּכְּפָרִים.	12 Come, my beloved, let us go forth into the field; let us lodge in the villages.
7.13 יג  נַשְׁכִּימָה, לַכְּרָמִים--נִרְאֶה אִם-פָּרְחָה הַגֶּפֶן פִּתַּח הַסְּמָדַר, הֵנֵצוּ הָרִמּוֹנִים; שָׁם אֶתֵּן אֶת-דֹּדַי, לָךְ.	13 Let us get up early to the vineyards; let us see whether the vine hath budded, whether the vine-blossom be opened, and the pomegranates be in flower; there will I give thee my love.
7.14 יד  הַדּוּדָאִים נָתְנוּ-רֵיחַ, וְעַל-פְּתָחֵינוּ כָּל-מְגָדִים--חֲדָשִׁים, גַּם-יְשָׁנִים; דּוֹדִי, צָפַנְתִּי לָךְ.	14 The mandrakes give forth fragrance, and at our doors are all manner of precious fruits, new and old, which I have laid up for thee, O my beloved.
8.1 א  מִי יִתֶּנְךָ כְּאָח לִי, יוֹנֵק שְׁדֵי אִמִּי; אֶמְצָאֲךָ בַחוּץ אֶשָּׁקְךָ, גַּם לֹא-יָבֻזוּ לִי.	1 Oh that thou wert as my brother, that sucked the breasts of my mother! When I should find thee without, I would kiss thee; yea, and none would despise me.
8.2 ב  אֶנְהָגְךָ, אֲבִיאֲךָ אֶל-בֵּית אִמִּי--תְּלַמְּדֵנִי; אַשְׁקְךָ מִיַּיִן הָרֶקַח, מֵעֲסִיס רִמֹּנִי.	2 I would lead thee, and bring thee into my mother's house, that thou mightest instruct me; I would cause thee to drink of spiced wine, of the juice of my pomegranate.
8.3 ג  שְׂמֹאלוֹ תַּחַת רֹאשִׁי, וִימִינוֹ תְּחַבְּקֵנִי.	3 His left hand should be under my head, and his right hand should embrace me.
8.4 ד  הִשְׁבַּעְתִּי אֶתְכֶם, בְּנוֹת יְרוּשָׁלִָם:  מַה-תָּעִירוּ וּמַה-תְּעֹרְרוּ אֶת-הָאַהֲבָה, עַד שֶׁתֶּחְפָּץ.  {ס}	4 'I adjure you, O daughters of Jerusalem: Why should ye awaken, or stir up love, until it please?' {S}
8.5 ה  מִי זֹאת, עֹלָה מִן-הַמִּדְבָּר, מִתְרַפֶּקֶת, עַל-דּוֹדָהּ; תַּחַת הַתַּפּוּחַ, עוֹרַרְתִּיךָ--שָׁמָּה חִבְּלַתְךָ אִמֶּךָ, שָׁמָּה חִבְּלָה יְלָדַתְךָ.	5 Who is this that cometh up from the wilderness, leaning upon her beloved? Under the apple-tree I awakened thee; there thy mother was in travail with thee; there was she in travail and brought thee forth.
8.6 ו  שִׂימֵנִי כַחוֹתָם עַל-לִבֶּךָ, כַּחוֹתָם עַל-זְרוֹעֶךָ--כִּי-עַזָּה כַמָּוֶת אַהֲבָה, קָשָׁה כִשְׁאוֹל קִנְאָה:  רְשָׁפֶיהָ--רִשְׁפֵּי, אֵשׁ שַׁלְהֶבֶתְיָה.	6 Set me as a seal upon thy heart, as a seal upon thine arm; for love is strong as death, jealousy is cruel as the grave; the flashes thereof are flashes of fire, a very flame of the LORD.
8.7 ז  מַיִם רַבִּים, לֹא יוּכְלוּ לְכַבּוֹת אֶת-הָאַהֲבָה, וּנְהָרוֹת, לֹא יִשְׁטְפוּהָ; אִם-יִתֵּן אִישׁ אֶת-כָּל-הוֹן בֵּיתוֹ, בָּאַהֲבָה--בּוֹז, יָבוּזוּ לוֹ.  {ס}	7 Many waters cannot quench love, neither can the floods drown it; if a man would give all the substance of his house for love, he would utterly be contemned. {S}
8.8 ח  אָחוֹת לָנוּ קְטַנָּה, וְשָׁדַיִם אֵין לָהּ; מַה-נַּעֲשֶׂה לַאֲחֹתֵנוּ, בַּיּוֹם שֶׁיְּדֻבַּר-בָּהּ.	8 We have a little sister, and she hath no breasts; what shall we do for our sister in the day when she shall be spoken for?
8.9 ט  אִם-חוֹמָה הִיא, נִבְנֶה עָלֶיהָ טִירַת כָּסֶף; וְאִם-דֶּלֶת הִיא, נָצוּר עָלֶיהָ לוּחַ אָרֶז.	9 If she be a wall, we will build upon her a turret of silver; and if she be a door, we will enclose her with boards of cedar.
8.10 י  אֲנִי חוֹמָה, וְשָׁדַי כַּמִּגְדָּלוֹת; אָז הָיִיתִי בְעֵינָיו, כְּמוֹצְאֵת שָׁלוֹם.  {פ}	10 I am a wall, and my breasts like the towers thereof; then was I in his eyes as one that found peace. {P}
8.11 יא  כֶּרֶם הָיָה לִשְׁלֹמֹה בְּבַעַל הָמוֹן, נָתַן אֶת-הַכֶּרֶם לַנֹּטְרִים:  אִישׁ יָבִא בְּפִרְיוֹ, אֶלֶף כָּסֶף.	11 Solomon had a vineyard at Baal-hamon; he gave over the vineyard unto keepers; every one for the fruit thereof brought in a thousand pieces of silver.
8.12 יב  כַּרְמִי שֶׁלִּי, לְפָנָי; הָאֶלֶף לְךָ שְׁלֹמֹה, וּמָאתַיִם לְנֹטְרִים אֶת-פִּרְיוֹ.	12 My vineyard, which is mine, is before me; thou, O Solomon, shalt have the thousand, and those that keep the fruit thereof two hundred.
8.13 יג  הַיּוֹשֶׁבֶת בַּגַּנִּים, חֲבֵרִים מַקְשִׁיבִים לְקוֹלֵךְ--הַשְׁמִיעִנִי.	13 Thou that dwellest in the gardens, the companions hearken for thy voice: 'Cause me to hear it.'
8.14 יד  בְּרַח דּוֹדִי, וּדְמֵה-לְךָ לִצְבִי אוֹ לְעֹפֶר הָאַיָּלִים--עַל, הָרֵי בְשָׂמִים.  {ש}	14 Make haste, my beloved, and be thou like to a gazelle or to a young hart upon the mountains of spices. {P}
